ch,gOSNR,OSNR
76,27.699621,30.267538
78,27.698389,30.265312
80,27.697157,30.263088
82,27.695926,30.260865
84,27.694694,30.258642
2,21.120916,21.380810
4,21.118780,21.378542
6,21.116644,21.376274
8,21.114509,21.374008
10,21.112375,21.371743
12,21.110242,21.369479
14,21.108111,21.367216
16,21.105980,21.364955
18,21.103851,21.362694
20,21.101722,21.360435
22,21.099595,21.358177
24,21.097468,21.355920
26,21.095343,21.353664
28,21.093218,21.351410
30,21.091095,21.349157
32,21.088973,21.346904
34,21.086852,21.344653
36,21.084731,21.342404
38,21.082612,21.340155
40,30.046526,30.988868
42,30.044718,30.986621
44,30.042911,30.984376
46,30.041104,30.982132
48,21.072032,21.328929
50,21.069919,21.326687
52,21.067807,21.324447
54,21.065696,21.322207
56,21.063586,21.319969
58,21.061477,21.317732
60,21.059369,21.315496
62,21.057263,21.313261
64,21.055157,21.311028
66,21.053052,21.308795
68,21.050948,21.306564
70,21.048845,21.304334
72,21.046744,21.302104
74,21.044643,21.299877
76,21.042543,21.297650
78,21.040445,21.295424
80,21.038347,21.293200
82,21.036250,21.290976
84,21.034155,21.288754
86,21.032060,21.286533
2,27.745460,30.350698
4,27.744215,30.348429
6,27.742970,30.346162
8,27.741725,30.343896
10,27.740481,30.341630
12,27.739237,30.339367
14,27.737994,30.337104
16,27.736751,30.334842
18,27.735508,30.332582
20,27.734266,30.330323
22,27.733024,30.328065
24,27.731782,30.325808
26,27.730540,30.323552
28,27.729299,30.321298
30,27.728059,30.319044
32,27.726819,30.316792
34,27.725579,30.314541
36,27.724339,30.312291
38,27.723100,30.310043
40,27.721861,30.307795
42,30.044718,30.986621
44,30.042911,30.984376
46,30.041104,30.982132
48,30.039298,30.979890
50,27.715672,30.296575
52,27.714435,30.294335
54,27.713199,30.292095
56,27.711962,30.289857
58,27.710727,30.287620
60,27.709491,30.285384
62,27.708256,30.283149
64,27.707022,30.280916
66,27.705787,30.278683
68,27.704553,30.276452
70,27.703320,30.274222
72,27.702087,30.271993
74,27.700854,30.269765
76,27.699621,30.267538
78,27.698389,30.265312
80,27.697157,30.263088
82,27.695926,30.260865
84,27.694694,30.258642
86,27.693464,30.256421
88,27.692233,30.254201
2,26.641002,27.660800
4,26.639208,27.658532
6,26.637415,27.656264
8,29.411241,29.772344
10,26.633831,27.651733
12,29.407073,29.767816
14,26.630250,27.647206
16,26.628460,27.644945
18,29.400829,29.761031
